AURA_DRAIN_PER	Emiþ bonusu %.1f%%
DETAILS_TOOLTIP_57	Bir kanama saldýrýsý meydana getirme þansýný yükseltir.
DETAILS_TOOLTIP_58	Kanama saldýrýsý karþýsýnda güçlü: Bir kanama saldýrýsýndan alýnan hasarý düþürür.
DETAILS_TOOLTIP_59	Rakibinle karþýlaþtýðýnda ondan HP çeker.
DETAILS_TOOLTIP_6	Zodyak canavarlarýna karþý güçlü: Zodyaük canavarlarýna daha büyük hasar verir.
DETAILS_TOOLTIP_60	Rakibinle karþýlaþtýðýnda ondan SP çeker.
DETAILS_TOOLTIP_61	Hayat puanlarýnýn yenilenmesini hýzlandýrýr.
DETAILS_TOOLTIP_62	Mana puanlarýnýn yenilenmesini hýzlandýrýr.
DETAILS_TOOLTIP_63	Yakýn dövüþ saldýrýlarýný bloklama þansý: Bir yakýn dövüþ saldýrýsýndan sýyrýlma þansýný artýrýr.
DETAILS_TOOLTIP_64	Ok saldýrýlarýný bloklama þansý: Bir canavarýn ok veya uzak saldýrýsýndan sýyrýlma þansýný artýrýr.
DETAILS_TOOLTIP_65	Yakýn dövüþ vuruþlarýný yansýtma þansý: Yakýn dövüþ vuruþlarýnýn bir kýsmý rakibe geri yansýtýlýr.
DETAILS_TOOLTIP_66	Öldürmede HP yenilemesi: Bir rakip öldürdüðünde hayat puanlarýn yükselir.
DETAILS_TOOLTIP_67	Öldürmede SP yenilemesi: Bir rakip öldürdüðünde mana puanlarýn yükselir.
DETAILS_TOOLTIP_68	Ýki kat tecrübe kazanma þansý: Rakibini yendiðinde EXP bonusu kazanma þansýný artýrýr.
DETAILS_TOOLTIP_69	Ýki kat Yang düþürme þansý: Ýki kat Yang elde etme þansýný artýrýr.
DETAILS_TOOLTIP_7	Hayvanlar karþýsýnda güçlü: Vahþi hayvanlara daha çok hasar verir.
DETAILS_TOOLTIP_70	Nesne düþürme þansý: Nesneleri çift çift elde etme þansýný artýrýr.
DETAILS_TOOLTIP_71	Saldýrý deðerini artýrýr.
DETAILS_TOOLTIP_72	Savunma deðerini artýrýr.
DETAILS_TOOLTIP_73	Tecrübe toplamayý artýrýr.
DETAILS_TOOLTIP_74	Nesne düþürme þansý: Nesne elde etme þansýný artýrýr.
DETAILS_TOOLTIP_75	Yang düþürme þansý: Daha fazla Yang elde etme þansýný artýrýr.
DETAILS_TOOLTIP_76	Büyü saldýrýsýyla aldýðýn hasarý düþürür.
DETAILS_TOOLTIP_77	Rakibinin büyü direncini düþürür.
DETAILS_TOOLTIP_8	Mistikler karþýsýnda güçlü: Mistiklere daha çok hasar verir.
DETAILS_TOOLTIP_9	Þeytanlar karþýsýnda güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_ATTBONUS_BELL	Çan Savunmasýnýn Kýrýlmasý: Düþmanýnýn çan savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ok Savunmasýnýn Kýrýlmasý: Düþmanýnýn ok savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Pençe Savunmasýnýn Kýrýlmasý: Düþmanýnýn pençe savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Hançer Savunmasýnýn Kýrýlmasý: Düþmanýnýn hançer savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_FAN	Yelpaze Savunmasýnýn Kýrýlmasý: Düþmanýnýn yelpaze savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kýlýç Savunmasýnýn Kýrýlmasý: Düþmanýnýn kýlýç savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_METIN	Metin taþlarýna karþý güç: Metinlere karþý saldýrý hasarý verir.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Çift El Savunmasýnýn Kýrýlmasý: Düþmanýnýn çift el savunmasýný azaltýr.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Düþmeye Karþý Dayanýklýlýk: Bineðinden düþme ihtimalini azaltýr.
DO_YOU_BUY_ITEM_WITHOUT_CHEQUE	Adet: %d Fiyat(Ýlk): %s
DO_YOU_BUY_ITEM_WITH_CHEQUE	Adet: %d Fiyat(Ýlk): %s , Fiyat(Ýkincil) %s
DO_YOU_WANT_TO_REMOVE_ITEM	%s satýþtan kaldýrýlsýn mý?
DO_YOU_WANT_TO_CLOSE_OFFLINE_SHOP	Çevrimdýþý pazarý kapatmak istiyor musun?
DO_YOU_DROP_MONEY	%d Yang býrakmak istiyor musun?
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taþý arýndýrýlamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taþý en yüksek seviyeye ulaþtý bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taþýný tekrar çýkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiþ ejderha taþý
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlýþ ejderha taþý.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taþý deðil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doðru ejderha taþý deðil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arýndýrma için yeterli malzemen yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha taþý bu boþluða sýðmýyor.
DRAGON_SOUL_STEP_LEVEL1	Saflýk: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflýk: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflýk: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflýk: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflýk: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taþý kýrýlabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlýþ boþluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha taþý simyasýný henüz kullanamazsýn.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eþyayý býrakamazsýn.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtýðýn sürece nesne düþüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang býrakabilirsin.
DUEL_BLOCK_CHANGE_ITEM	[x] Eþya Deðiþtirme
DUEL_BLOCK_BUFF	[x] Kutsama
DUEL_BLOCK_POTION_RED	[x] Kýrmýzý Ýksir
DUEL_BLOCK_HORSE_MOUNT	[x] Binek/At
DUEL_BLOCK_PET	[x] Evcil Hayvan
DUEL_BLOCK_POLY	[x] Dönüþüm
DUEL_BLOCK_PARTY	[x] Grup
DUEL_BLOCK_EXCHANGE	[x] Ticaret
DUEL_TARGET_NAME	Düello:  
DUEL_MONEY_ADD	[i] Ekle
DUEL_MONEY_CANCEL	[i] Vazgeç
DUEL_MONEY_TITLE	[i] Düello Ýddiasý
DUEL_MONEY_CURRENT	Varolan iddia: 
DUEL_VICTIM_ERROR	<Warning> Bunu gerçekleþtiremezsin.
DUEL_MONEY_ERROR_1	<Warning> Sadece rakam girebilirsin.
DUEL_MONEY_ERROR_2	<Warning> Girdiðin rakam sýfýrdan küçük olamaz.
DUEL_MONEY_ERROR_3	<Warning> Girdiðin rakam sahip olduðundan fazla olamaz.
DUEL_TITLENAME	Düello Eþya Görüntüleme
DUEL_EQUIP_BLOCK	Blokla
DUEL_EQUIP_UNBLOCK	Bloklama
DUEL_TITLENAME_EQUIP	Ekipman:
DUEL_CHOOSE_BLOCK	Bloklamak istediklerini seç:
DUEL_INFO_1	Oyuncu Ýsmi:
DUEL_INFO_2	Lonca Ýsmi:
DUEL_INFO_3	Seviye:
DUEL_INFO_4	Oyun Süresi:
DUEL_INFO_5	Düello Ýddiasý:
DUEL_INFO_6	Detaylar:
DUEL_LIVE_VICTIM_LEVEL	Seviye:
DUEL_LIVE_VICTIM_NAME	Ýsim:
DUEL_MANAGER_TITLE	[PvP] Ekipman Yönetimi
EMOTION_ALCOHOL	Þerefe!
EMOTION_ANGRY	Can Sýkýcý
EMOTION_ATTRACTIVE	Baþtan Çýkarma
EMOTION_BANTER	Küçümseme
EMOTION_BUSY	Stres
EMOTION_CALL	Çaðrý
EMOTION_CELEBRATION	Parti
EMOTION_CHARGING	Akü
EMOTION_CHEERS_1	Hoþça Kal 1
EMOTION_CHEERS_2	Hoþça Kal 2
EMOTION_CHEERUP	Alkýþ
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkýþlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Kýsa süreli uyku
EMOTION_EXERCISE	Isýnma
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransýz öpücüðü
EMOTION_HUNGRY	Açlýk
EMOTION_JOY	Neþe
EMOTION_LETTER	Aþk mektubu
EMOTION_NOSAY	Suskun
EMOTION_PUSH_UP	Þýnav
EMOTION_SAD	Üzgün
EMOTION_SELFIE	Selfie
EMOTION_SHY	Reddetme
EMOTION_SIREN	Siren
EMOTION_SLAP	Çak
EMOTION_WEATHER_1	Güneþ
EMOTION_WEATHER_2	Gökkuþaðý
EMOTION_WEATHER_3	Ay
EMOTION_WHIRL	Þaþkýnlýk
EMOTION_ALCOHOL	Þerefe!
EMPIRE_A	Shinsoo Krallýðý
EMPIRE_B	Chunjo Krallýðý
EMPIRE_C	Jinno Krallýðý
EMPIRE_SELECT	Seç
EMPIRE_SELECT_MODE	Krallýk seç
EXCHANGE_CANNOT_GIVE	Bu nesneyi alýþveriþte kullanamazsýn.
EXCHANGE_CANNOT_GIVE_SEAL_ITEM	Ruha baðlanmýþ nesneyi alýþveriþte kullanamazsýn.
EXCHANGE_CANT_EDIT_MONEY	Toplamý þu anda deðiþtiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eþyayý takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s ile alýþveriþ
EXCHANGE_TITLE_ALL_ACCEPTED	%s ile Alýþveriþ [Sona Erdi].
EXCHANGE_TITLE_SELF_ACCEPTED	%s ile Alýþveriþ [Kabul Edildi].
EXCHANGE_TITLE_TARGET_ACCEPTED	%s ile Alýþveriþ [Rakip Kabul Etti].
EXCHANGE_TITLE_LEVEL	%s Ýle Alýþveriþ(Lv.%d)
EXCHANGE_INFO_NAME	Ýsim: %s
EXCHANGE_INFO_LV	Seviye: %s
EXCHANGE_INFO_GUILD	Lonca: %s
EXCHANGE_ALREADY_ACCEPTED	Zaten alýþveriþ penceresini kabul etmiþsin.
EXINVEN_USE_ITEM_QUESTION	Devam etmek istiyor musun?
EXINVEN_USE_ITEM_QUESTION_2	%d Adet Envanter Geniþletme nesnesine ihtiyacýn var.
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Envanterini geniþletmek için %d adet Envanter Geniþletmeye ihtiyacýn var.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Envaterin zaten tamamen geniþletilmiþ.
EXTEND_INVENTORY_STONE_TOOLTIP	Zihin Taþlarý
EXTEND_INVENTORY_SKILL_BOOK_TOOLTIP	Beceri Kitaplarý
EXTEND_INVENTORY_UPGRADE_ITEM_TOOLTIP	Yükseltma Eþyalarý
EXTEND_INVENTORY_CHEST_TOOLTIP	Sandýk Eþyalarý
EXTEND_INVENTORY_ATTR_TOOLTIP	Efsun Eþyalarý
EXTEND_INVENTORY_FLOWER_TOOLTIP	Bitki Eþyalarý
EXTEND_INVENTORY_TOOLTIP_TITLE	Yardýmcý Çanta Sistemi
EXTEND_INVENTORY_TOOLTIP_LINE1	Yardýmcý çanta envanterine ek olarak
EXTEND_INVENTORY_TOOLTIP_LINE2	Beceri,Yükseltme ve Ruh taþý nesnelerini
EXTEND_INVENTORY_TOOLTIP_LINE3	depolayabileceðin eklentidir.
EXTEND_INVENTORY_TOOLTIP_LINE4	Elde ettiðin beceri,yükseltme ve ruh taþý
EXTEND_INVENTORY_TOOLTIP_LINE5	nesneleri bu çantalara gelecektir.
EXTEND_INVENTORY_TOOLTIP_LINE6	bu çantalar üzerinen aktarýmlarýný gerçekleþtirebilirsin.
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takýlmýþ gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takýlmýþ gibi görünüyor.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	Suda %s tuttun!
FISHING_UNKNOWN	Oltaya birþey takýldý ama ne olduðu belli deðil.
FISHING_WRONG_PLACE	Burada balýk tutamazsýn.
FOR_FEMALE	kadýn için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsýn.
GAME_CANNOT_PICK_ITEM	Kazanmadýðýn için bu nesneyi toplayamazsýn.
GAME_GUILDWAR_NOW_JOIN	Lonca savaþýna katýlmak istiyor musun?
GAME_INIT_ERROR_CURSOR	imleç tanýmlanamadý.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olmasý gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartý bulunamadý.\nEðer mevcutsa, VGA kart sürücünüzün doðru yüklenmiþ olup olmadýðýný kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartý kurulamadý. \n Eðer VGA kartýnýz varsa kontrol edin. \n Alternatif olarak, donaným hýzlandýrýcýnýzý aktif edebilirsiniz. \n (Donaným Hýzlandýrýcýnýzý maximuma ayarlayýn \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarýnýzdaki grafik kartý Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneðini kullanýnýz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapý oluþturulamýyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Baðlantý kurulamýyor.\ninternet baðlantýnýzý kontrol ediniz.
GAME_PICK_MONEY	%s Yang Kazandýn.
GAME_PICK_GEM	%s Gaya Kazandýn.
GAME_PICK_YEAR_ROUND_POINT	%s Yýl Dönümü Puaný Kazandýn.
GAME_PICK_BOSS_EVENT_POINT	%s Patron Avcýlarý Puaný Kazandýn.
GAME_PICK_RAMADAN_EVENT_POINT	%s Ramazan Puaný Kazandýn.
GAME_FPS	FPS:%3d
GENERAL_INFO_QUALITY	Baðlantý Kalitesi
GENERAL_INFO_EXCELLENT	Mükemmel
GENERAL_INFO_GOOD	Ýyi
GENERAL_INFO_NOT_BAD	Normal
GENERAL_INFO_BAD	Kötü
GEMS1	Bu slotu [Gaya Maðazasýný Geniþlet] karþýlýðýnda kullanýma açmak ister misin? 
GEMS2	Bu Eþyayý Gaya karþýlýðýnda satýn almak istiyor musun?
GEMS3	Bu Eþyayý Gaya karþýlýðýnda satýn almak istiyor musun?
GEMS4	[Gaya maðazasýný sýfýrla] karþýlýgýnnda market listesini yenilemek ister misin?
GEM_SYSTEM_ADD_SLOT_0	Gerekli Eþya: %s.
GEM_SYSTEM_ADD_SLOT_1	Gereken sayý: %d. Kullanýma açmak istiyor musun?
GEM_SYSTEM_BUY_ITEM	Bu eþyayý satýn almak istiyor musun?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	<Gaya Maðazasý> Yeterli gaya maðazasý yenileme eþyasýna sahip deðilsin.
GEM_SYSTEM_NOT_ENOUGHT_ADDITEM	<Gaya Maðazasý> %s Eþyasýna sahip deðilsin. Geniþletme için %d adet gerekli.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	<Gaya Maðazasý> Yeterli gaya parasýna sahip deðislin..
GEM_SYSTEM_NO_MORE_ADDSLOT	<Gaya Maðazasý> No more slots can be unlocked.
GEM_SYSTEM_OPEN_GEMSHOP	<Gaya Maðazasý> Ýlk önce gaya maðazasýný açmalýsýn.
GEM_SYSTEM_PICK_GEM	<Gaya Maðazasý> Kazanýlan Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Gaya maðazasýný yenilemek istiyor musun?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel deðil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel deðil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel deðil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Geniþlik 64 Pixel deðil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi Metin2/upload klasörüne taþý.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasý seçilmedi.
GUILDWAR_CTF_TITLE	Bayrak ele geçirildi.
GUILDWAR_NORMAL_TITLE	Meydan Savaþý
GUILDWAR_QUESTION_LINE_1	%s loncasý, senin loncana savaþ ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaþý
GUILD_BUILDING_GRADE	Sýralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiþ durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adý hatalý
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%d Yang %d ile bir Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katýlmak istiyor musun?
GUILD_EMPTY_AREA	Boþ alan
GUILD_ENEMY_GUILD_NAME	Düþmanýn Lonca adý
GUILD_FACILITY	Ek bina
GUILD_GEM	Deðerli taþ
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boþ
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_NAME	Lonca adý
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inþaat malzemesine sahip deðilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip deðilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatýr
GUILD_SHORT_EXP	Yeterli Tecrübe Puaný yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	Kara tahta
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Lonca üyeleri
GUILD_TILE_SKILL	Lonca becerisi
GUILD_USE_MASTER_ONLY	Sadece lonca lideri bu yetkiye sahip.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaþý Bölgesi
GUILD_WAR2	Lonca Savaþý Bölgesi
GUILD_WAR3	Lonca Savaþý Bölgesi
GUILD_WAR4	Lonca Savaþý Bölgesi
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaþý Arenasý
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaþý en yüksek skor kazanýr
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düþmanýn bayraðýný ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düþmanlarý öldür.
GUILD_RANKING_WINDOW_TITLE	Lonca Sýralamasý
GUILD_WAR_HISTORY_WINDOW_TITLE	Lonca Savaþ Geçmiþi
GUILD_WAR_HISTORY_TITLE	Pencere hakkýnda bilgilendirme.
GUILD_WAR_HISTORY_TOOLTIP1	LoncaAdý, LoncaPuaný, Kazanma Sayýsý, Toplam Savaþ, Kaybetme Sayýsý
GUILD_WAR_HISTORY_TOOLTIP2	Sýrasýyla pencerede görünür ve en çok savaþ kazanan lonca
GUILD_WAR_HISTORY_TOOLTIP3	Sýralamada 1. olur, Pencere geliþtirilecektir.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaþý Bölgesi
GUILD_WAR2	Lonca Savaþý Bölgesi
GUILD_WAR3	Lonca Savaþý Bölgesi
GUILD_WAR4	Lonca Savaþý Bölgesi
GUILD_WITHDRAW	Geri çekil.
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya üye deðilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Aç kalmýþ halde
HORSE_HEALTH2	Acýkmýþ halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savaþ Atý
HORSE_LEVEL3	Asker at
HOUR	Saat
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP_NEW2	%s %d nesnesiyle ne yapmak istiyorsun? [Satýþ Fiyatý (%s)]
HOW_MANY_ITEM_DO_YOU_DROP_NEW1	%s nesnesiyle ne yapmak istiyorsun? [Satýþ Fiyatý (%s)]
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numaraný gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarýnýzdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INTRO_SELECT_LEVEL	Lv. %d
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dönüþ Rolesi
INVENTORY_REALLY_USE_ITEM	Bu eþyayý kullanmak istiyor musun?
ITEM_MASTER_TOOLTIP_INFO	[Eþya Bilgileri]
ITEM_TYPE_TOOLTIP	Eþya tipi numarasý (%d)
ITEM_SUBTYPE_TOOLTIP	Eþya ara tipi numarasý (%d)
ITEM_VNUM_TOOLTIP	Item Vnum: %d
ITEM_SIZE_TOOLTIP	Eþya boyutu (%d)
ITEM_SELL_TOOLTIP	Eþya satýþ fiyatý (%d)
ITEM_RARE_LEVEL_0	[Evrimsiz] (%d)
ITEM_RARE_LEVEL_1	[1. Lv Kusursuz] (%d)
ITEM_RARE_LEVEL_2	[2. Lv Nadir] (%d)
ITEM_RARE_LEVEL_3	[3. Lv Antika] (%d)
ITEM_RARE_LEVEL_4	[4. Lv Efsanevi] (%d)
ITEM_RARE_LEVEL_5	[5. Lv Destansý] (%d)
ITEM_RARE_LEVEL_6	[6. Lv Eþsiz] (%d)
ITEM_RARE_LEVEL_7	[7. Lv Yadigâr] (%d)
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Yok
JOB_ASSASSIN1	Yakýn Ninja
JOB_ASSASSIN2	Uzak Ninja
JOB_SHAMAN	Þaman
JOB_SHAMAN0	Yok
JOB_SHAMAN1	Ejderha Þamaný
JOB_SHAMAN2	Þifacý Þaman
JOB_SURA	Sura
JOB_SURA0	Yok
JOB_SURA1	Silah Surasý
JOB_SURA2	Büyü Surasý
JOB_WARRIOR	Savaþçý
JOB_WARRIOR0	Yok
JOB_WARRIOR1	Bedensel Savaþçý
JOB_WARRIOR2	Zihinsel Savaþçý
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Yok
JOB_WOLFMAN1	Ýçgüdü
JOB_WOLFMAN2	N.A.
KASMIR_MARKET_PRIVATESHOP_0	Standart
KASMIR_MARKET_PRIVATESHOP_1	Binbir Gece
KASMIR_MARKET_PRIVATESHOP_2	Mangal Ustasý
KASMIR_MARKET_PRIVATESHOP_3	Hazine Avcýsý
KASMIR_MARKET_PRIVATESHOP_4	Kýsýk Ateþ
KASMIR_MARKET_PRIVATESHOP_5	Silah Satýcýsý
KASMIR_MARKET_PRIVATESHOP_6	Zýrh Ticareti
KASMIR_MARKET_PRIVATESHOP_7	Simyacý
KASMIR_PAKET_STANDART	Standart
KASMIR_PAKET_FIRE	Cehennem
KASMIR_PAKET_ICE	Buzul Çaðý
KASMIR_PAKET_PAPER	Parþömen
KASMIR_PAKET_RIBON	Savaþ Sancaðý
KASMIR_PAKET_WING	Dalgalanan
NORMAL_SHOP	Satýcý
LANG_RESTART_FOR_CHANGE	Deðiþiklik için oyunu tekrar baþlatmalýsýn.
LEFT_TIME	Kalan Süre
LOGIN_ACCEPT_SECURE_COMPUTER	Bu bilgisayarý güvenli bilgisayar yapmak istiyor musun?
LOGIN_BOS	Boþ.
LOGIN_CONNECT_FAILURE	Sunucuya baðlanýrken hata
LOGIN_CONNECT_SUCCESS	Sunucuya baðlandýn.
LOGIN_CONNETING	Lütfen bekle. Sunucuya baðlanýyorsun.
LOGIN_FAILURE_ALREAY	Hesabýn zaten baðlý.
LOGIN_FAILURE_BE_SAME_KEY	Kayýt problemi
LOGIN_FAILURE_BLOCK_ID	Bu hesap engellendi.
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen baþka server seç!
LOGIN_FAILURE_BLOCK_SECURITY	Baþka clientten giriþ yapamazsýn..
LOGIN_FAILURE_NOBILL	Bu hesabýn oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Bu hesap kullanýlamýyor.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya þifre yanlýþ.
LOGIN_FAILURE_REPAIR_ID	Bu hesap için, nesneler yüklendi.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açýlmadý.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla kullanýcý baðlý olduðu için baðlanamazsýnýz.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadýnýz.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine eriþiminiz engellendi. Lütfen E-Postanýzý kontrol ediniz.
LOGIN_FAILURE_IP_BLOCK	IP adresiniz yasaklanmýþtýr. Lütfen yönetici ile iletiþim kurunuz.
LOGIN_FAILURE_DISABLE	Bakým modu aktif. Þuanda giremezsiniz lütfen facebook sayfamýzý takip ediniz.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya þifre yanlýþ.
LOGIN_FAILURE_WRONG_SOCIALID	Baþaramadýn.
LOGIN_FAILURE_SHUTDOWN_TIME	Oyun þuanda bakýmda.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlýþ numara girdiniz.
