AURA_MAIN	Aura Giysisi
KEYCHANGE_EMOTION9	Duygu (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardým
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanýlamaz!
KEYCHANGE_IMPOSSIBLE_CHANGE2	Bu tuþ ana tuþlarda kullanýlmakta!
KEYCHANGE_IMPOSSIBLE_CHANGE3	Deðiþtirmek için bir tuþ seç!
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarlarý
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaþlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritasý
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartý
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PARTY_MATCH_WINDOW	Grup aramasý
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniþ
KEYCHANGE_RIDE_BYE	Atý gönder
KEYCHANGE_RIDE_HORSE	Biniþ
KEYCHANGE_RIDE_PEED	Atý yemle
KEYCHANGE_RIGHT1	Sað
KEYCHANGE_RIGHT2	Sað
KEYCHANGE_ROOT1	Kaldýr
KEYCHANGE_ROOT2	Kaldýr
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Þipþak
KEYCHANGE_SHOW_NAME	Ýsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Boþluk 1
KEYCHANGE_SLOT2	Boþluk 2
KEYCHANGE_SLOT3	Boþluk 3
KEYCHANGE_SLOT4	Boþluk 4
KEYCHANGE_SLOT5	Boþluk 5
KEYCHANGE_SLOT6	Boþluk 6
KEYCHANGE_SLOT7	Boþluk 7
KEYCHANGE_SLOT8	Boþluk 8
KEYCHANGE_SLOT_KET	Hýzlý Eriþim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Ýleri
KEYCHANGE_UP2	Ýleri
KEYCHANGE_SUPPORT_GUI	Destek Karakteri
KEYCHANGE_SPECIAL_INVENTORY	Yardýmcý Çanta
KEYCHANGE_ATLASMAP_WINDOW	Büyük Harita
KEYCHANGE_SHOW_MINIMAP	Küçük Harita
KEYCHANGE_SHOW_CHAT	Sohbet Penceresi
KEYCHANGE_EXIT_AND_SAVE	Kaydet ve çýk
KEYCHANGE_EXIT_WITHOUT_SAVE	Kaydetmeden çýk
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çýkýþ
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_REGISTER	Kayýt Ol!
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çýkýþ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
LOGIN_NULL_BTN	Boþ
LOGIN_NO_DELETE_ACC	Silinecek hesap yok!
LOGIN_DELETE_ACC	Hesap silindi!
LOGIN_NO_ENTER_ACC	Girilecek hesap yok!
LOGIN_SAVE_BTN	Kaydet
LUCKY_BOX_NOTICE_YANG	Yeni eþya þansý için Yang bedeli
LUCKY_BOX_RECV_BUTTON	Eþyayý kabul et
LUCKY_BOX_RECV_NAME	Ýçerik:
LUCKY_BOX_RETRY_BUTTON	Yeni eþya þansý
LUCKY_BOX_TITLE_NAME	Þans kutusu
MAILBOX_POST_ALL_DELETE_BUTTON	Tümünü sil
MAILBOX_POST_ALL_RECEIVE	Tümünü kabul et
MAILBOX_POST_READ_BLOCK	Engelle
MAILBOX_POST_READ_DELETE	Sil
MAILBOX_POST_READ_FROM	Bundan:
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Kabul et
MAILBOX_POST_READ_TITLE	Konu
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Gönder
MAILBOX_POST_WRITE_CLOSE_TEXT	Kapat
MAILBOX_POST_WRITE_CONFIRM_TEXT	Alýcýyý kontrol et
MAILBOX_POST_WRITE_SEND_TEXT	Gönder
MAILBOX_POST_WRITE_TITLE	Konu
MAILBOX_POST_WRITE_TO	Alýcý
MAIN_MENU_OFFLINE_SHOP	Özel Dükkan
MAIN_MENU_SPECIAL_STORAGE	Ek Envanter
MAIN_MENU_RANGE_SHOP	Uzaktan Market
MAIN_MENU_SWITCH_BOT	Efsun Botu (N)
MAIN_MENU_SWITCH_BOT_GREEN	Efsun Botu (Y)
MAIN_MENU_SHOP_SEARCH	Ticaret Camý
MAIN_MENU_GUILD_RANKING	Lonca Sýralamasý
NEW_EXCHANGE_YOU	Ben
NEXT	Ýleri
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Ýþlemler
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_DELETE_FRIEND	Arkadaþ Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MESSENGER_ADD_BLOCK	Engelle
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Metin2 Okey Kart Oyunu
MINIMIZE	Küçült
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_ALWAYS_SHOW_NAME_ITEM	Sadece Eþya
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_BLOCK_POINT_EXP	Tecrübe
OPTION_FPS_MODE	FPS
OPTION_BLOCK_EQUIPMENT_REQUEST	Ekipman
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_FOG	Sis
OPTION_FOG_ON	Açýk
OPTION_FOG_OFF	Kapalý
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarasý Gir
OPTION_MOBILE	Cep Telefonu
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
OPTION_SHADOW	Gölge Ayarý
OPTION_OFFLINE_SHOPS	Dükkanlar
OPTION_SHOW	Göster
OPTION_ONLY_SHOPS	Normal P.
OPTION_HIDE	Gizle
OPTION_SHOW_COMPANIONS	Gizle
OPTION_SHOW_COMPANIONS_PETS	Pet
OPTION_SHOW_COMPANIONS_MOUNTS	Binek
OPTION_SHOW_COMPANIONS_SHAMANS	Þaman
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Agresif
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_YANG_SHOW	Yang Bilgisi
OPTION_YANG_SHOW_ON	Göster
OPTION_YANG_SHOW_OFF	Gizle
OPTION_CHAT_FILTER	Sohbet Süzgeci
OPTION_CHAT_FILTER_DICE	Zar
OPTION_HEALTH_BOARD	Yaþam Göstergesi
OPTION_HEALTH_BOARD_ON	Göster
OPTION_HEALTH_BOARD_OFF	Gizle
OPTION_SASH	Kuþak
OPTION_SASH_ON	Göster
OPTION_SASH_OFF	Gizle
OPTION_AUTO_PICKUP	Oto Toplama
OPTION_AUTO_PICKUP_ON_SPEED	Hýzlý
OPTION_AUTO_PICKUP_ON	Normal
OPTION_AUTO_PICKUP_OFF	Kapalý
OPTION_NIGHT	Gece Modu
OPTION_NIGHT_ON	Açýk
OPTION_NIGHT_OFF	Kapalý
OPTION_SHOPNAME_RANGE	Dükkan Mesafesi
OPTION_TEXTURES	Doku
OPTION_TEXTURES_CLASSIC	Klasik
OPTION_TEXTURES_SNOW	Kar
OPTION_TEXTURES_DESERT	Çöl
OPTION_SNOW_MODE	Kar
OPTION_SNOW_MODE_ON	Açýk
OPTION_SNOW_MODE_OFF	Kapalý
OPTION_FONT	Yazý Tipi
OPTION_VIEW_COSTUME	Zýrh Kostümü
OPTION_VIEW_COSTUME_ON	Göster
OPTION_VIEW_COSTUME_OFF	Gizle
OPTION_VIEW_COSTUME_W	Silah Kostümü
OPTION_VIEW_COSTUME_W_ON	Göster
OPTION_VIEW_COSTUME_W_OFF	Gizle
OPTION_VIEW_COSTUME_H	Saç Stili
OPTION_VIEW_COSTUME_H_ON	Göster
OPTION_VIEW_COSTUME_H_OFF	Gizle
OPTION_BACKGROUND_MASK	Grafik Ayarlarý
OPTION_BACKGROUND_MASK_TERRAIN	Zemin
OPTION_BACKGROUND_MASK_OBJECT	Obje
OPTION_BACKGROUND_MASK_CLOUD	Bulut
OPTION_BACKGROUND_MASK_TREE	Aðaç
OPTION_BACKGROUND_MASK_WATER	Su/Ateþ
OPTION_KEYBOARDSETTINGS	Klavye
OPTION_EDIT	Düzenle
OPTION_GUNSAM_MODE	Dans Etkinliði
OPTION_GUNSAM_ON	Ýzin Ver
OPTION_GUNSAM_OFF	Engelle
OPTION_LEVEL	Seviye
OPTION_LEVEL_ON	Göster
OPTION_LEVEL_OFF	Gizle
OPTION_ITEM_HIGHLIGHT	Eþya Parlama
OPTION_ITEM_HIGHLIGHT_ON	Açýk
OPTION_ITEM_HIGHLIGHT_OFF	Kapalý
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini deðiþtir
PET_ATTR_CONFIRMATION	Deðiþtir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_SYSTEM_FEED	Besle
PET_SYSTEM_PET_NAME	Evcil Hayvan Ýsmi
PET_SYSTEM_HATCH	Oluþtur
PET_SYSTEM_LEVEL	Seviye
PET_SYSTEM_EXP	Deneyim Puaný
PET_SYSTEM_AGE	Yaþ
PET_SYSTEM_DURATION	Süre
PET_SYSTEM_EVOLVE	Geliþtir
PET_SYSTEM_ITEM_EXP	Nesne Tecrübesi
PET_SYSTEM_BONUSES	Bonuslar
PET_SYSTEM_INCUBATOR	Kuluçka Makinesi
PET_SYSTEM_HP	Can
PET_SYSTEM_DEF	Savunma
PET_SYSTEM_ATTACK	Hasar
PICK_MONEY_TITLE	Bölmek
PREV	Geri
PRIVATESHOPSEARCH_BUY	Satýn al
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	Ýsim
PRIVATESHOPSEARCH_ITEMTYPE	Nesneler
PRIVATESHOPSEARCH_JOB	Sýnýf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Nesne Seviyesi
PRIVATESHOPSEARCH_SEARCH	Arama
PRIVATESHOPSEARCH_SEARCH_BAR	Ara
PRIVATESHOPSEARCH_SELECT	Seç
PRIVATESHOPSEARCH_SELLER	Satýcý
PRIVATESHOPSEARCH_INFO_TEXT	Bilgilendirme: (Sarý,Mavi,Kýrmýzý) bayraklar üzerindeki tüm pazarlarda arama yapýlmaktadýr.
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
PRIVATESHOP_TOTAL_GOLD_TOOLTIP	Eþyalarýn toplam yang tahsilatý deðeri.
PRIVATESHOP_TOTAL_CHEQUE_TOOLTIP	Eþyalarýn toplam won tahsilatý deðeri.
PW_ACCOUNT	Þifre
PASSWORD_RESTART	Þifrenizimi unuttunuz ?
QUEST_CATEGORY_00	Ana Görevler
QUEST_CATEGORY_01	Yan Görevler
QUEST_CATEGORY_02	Araþtýrma Görevleri
QUEST_CATEGORY_03	Av Görevleri
QUEST_CATEGORY_04	Uyarýlar
QUEST_CATEGORY_05	Bilgilendirme
QUEST_CATEGORY_06	Diðer Görevler
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Burada yeniden baþla
RESTART_TOWN	Þehirde yeniden baþla
RESTART_IMMEDIATE	Reenkarnasyon
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SASH_ABSORB	Bonus Emiþi
SASH_COMBINE	Kombinasyon
SASH_MAIN	Kuþak 1
SASH_RESULT	Sonuç
SASH_SERVE	Kuþak 2
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_SELECT	Baþla
SELECT_SP	SP
SELECT_TITLE	Baþlýk Seç
SELECT_YES_GUILD	Lonca: %s
SELECT_PLAYTIME	Oyun Süresi: 
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SHOP_NAME	Market ismi
SHOP_TIMEOUT	Market sona eriþ süresi
SHOP_CREATE	Market oluþtur
SHOP_CREATE_PRICE	Ücret: 
SHOP_CREATE_HOURS	saat
SHOP_CREATE_HOUR	saat
SHOP_CREATE_DAY	gün
SHOP_CREATE_DAYS	gün
SHOP_CREATE_NORMAL	Normal market
SHOP_NAME_EMPTY	Lütfen market ismi girin
SHOP_TIMEOUT_EMPTY	Lütfen marketin süresini seçiniz.
SHOP_WINDOW_NAME	Marketleriniz
SHOP_WINDOW_CREATE	Market Oluþturma
SHOP_GET_YANG	Parayý al
SHOP_CHANGE_NAME	Ýsim deðiþtir
SHOP_ENTER_NEW_NAME	Yeni bir isim gir
SHOP_CLOSE	Marketi kapat
SHOP_CLOSE_QUEST	"%s" isimli marketi kapatmak istiyor musun?
SHOP_MANAGE	Yönet
SHOP_OPEN	Market oluþtur
SHOP_EDIT	Düzenle
SHOP_REMOVE_ITEM	Sil
SHOP_CHANGE_PRICE	Ücreti deðiþtir
SHOP_EDIT_SHOP_WINDOW	Market düzenleme
SHOP_EDIT_SHOP_CANCEL	Düzenlemeyi iptal et
SHOP_REMOVE_ITEM_QUEST	Bu eþyayý silmek istediðine emin misin?
SHOP_SELECT	Seç
SHOP_REMOVE_ITEM_QUEST:Bu eþyayý silmek istediðine emin misin?
SHOP_NOT_EARNED_YANG	Marketin para kazanmadý!
SHOP_YANG_QUEST	%s kadar yangý "%s" marketinden almak istiyor musun?
SHOP_CHEQUE_QUEST	%s kadar won "%s" marketinden almak istiyor musun?
SHOP_INFORMATION	Market hakkýnda bilgi
SHOP_EARNED_YANG	Kazanýlan para: 
SHOP_SOLD_ITEMS	Satýlan itemler: 
SHOP_REST_ITEMS	Kalan itemler: 
SHOP_TIME_TO_CLOSE	Marketin sona eriþ süresi:
SHOP_SELECT_TIME    Seç
SHOP_SEARCH_TITLE	Market ara
SHOP_SEARCH_CLEAR	Temizle
SHOP_SEARCH_BUTTON	Araþtýr
SHOP_SEARCH_PRICE	Fiyat:
SHOP_SEARCH_ENTER_ITEM_NAME	Eþya adý giriniz
SHOP_SEARCH_EMPTY_ITEM_NAME	Aradýðýnýz eþya bulunamadý!
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardým
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_MOVE_CHANNEL	Kanal deðiþtir
SYSTEM_OPTION	Sistem Seçenekleri
SYSTEM_SWITCH_BOT	Efsun Botu
SYSTEM_KEYBOARD	Uzaktan Market
SYSTEM_NEED_HELP	Yardým Ýste
SYSTEM_RANGE_SHOP	Uzaktan Market
SYSTEM_ANNOUNCEMENT	Uyanýþ
SYSTEM_BUG_FIX	Bug'dan Kurtul
SYSTEM_BONUS_BUTTON	Efsun Botu
SYSTEM_BOSS_TRACKING	Patron Takip Sistemi
SYSTEM_DUNGEON_TIME	Zindan Süre Takibi
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Önceki Hýzlý Giriþ Alaný[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
TASKBAR_MONEY_EXPAND	Sermaye
TOTAL_RANKING	Toplam Sýralama Listesi
WEEKLY_RANKING	Haftalýk Sýralama Listesi
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	Þikayet Et	
WHISPER_SEND	Gönder
YES	Evet
YOUTUBER_ORNEK	 "Örnek: www.youtube.com/watch?v=|cffed475cC3fqJO0hQtM"
YOU_CAN_DELETE_1ST_SPACE	1.Slotu silebilirsiniz.
YOU_CAN_DELETE_2ND_SPACE	2.Slotu silebilirsiniz.
YOU_CAN_DELETE_3RD_SPACE	3.Slotu silebilirsiniz.
YOU_CAN_DELETE_4TH_SPACE	4.Slotu silebilirsiniz.
YOU_CAN_DELETE_5TH_SPACE	5.Slotu silebilirsiniz.
YOU_CAN_DELETE_6TH_SPACE	6.Slotu silebilirsiniz.
ZONE_MAP	Genel Görünüm Haritasý
NEW_KEYBOARD_SLOT_BLOCKED	Bu yuvanýn kilidini açmak %d. seviyeye ulaþmalýsýn.
MINI_GAME_FISH_START_TEXT	Baþlat
MINI_GAME_FISH_TITLE	Balýk Yapboz Oyunu
BANNER_FISH_BUTTON	Balýkçýlýk
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINI_GAME_FISH_HELP_TEXT	Yardým
MAILBOX_POST_ALL_DELETE_BUTTON	Tümünü sil
MAILBOX_POST_ALL_RECEIVE	Tümünü kabul et
MAILBOX_POST_READ_BLOCK	Engelle
MAILBOX_POST_READ_DELETE	Sil
MAILBOX_POST_READ_FROM	Bundan:
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Kabul et
MAILBOX_POST_READ_TITLE	Konu
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Gönder
MAILBOX_POST_WRITE_CLOSE_TEXT	Kapat
MAILBOX_POST_WRITE_CONFIRM_TEXT	Alýcýyý kontrol et
MAILBOX_POST_WRITE_SEND_TEXT	Gönder
MAILBOX_POST_WRITE_TITLE	Konu
MAILBOX_POST_WRITE_TO	Alýcý
MAILBOX_TITLE	Gelen kutusu
TOP_DAMAGE_TITLE	Hasar Rekoru Penceresi
TOP_DAMAGE_PVP	PvP
TOP_DAMAGE_PVM	PvM
TOP_DAMAGE_HIT	Normal Hasar
TOP_DAMAGE_SKILL	Beceri Hasarý
GEMSHOP_LEFTTIME	Kalan Süre
GEMSHOP_TITLE	Patron Gaya Maðazasý
GEMSHOP_TITLE2	Metin Gaya Maðazasý
BANNER_ATTENDANCE_BUTTON	Patron Avcýsý Etkinliði
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
BANNER_CATCHKING_BUTTON Kralý Yakalayin
MINI_GAME_CATCHKING_CHALLENGE	Girdi
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
MINI_GAME_CATCHKING_HIGH_SCORE	En yüksek skor
MINI_GAME_CATCHKING_MYNUMBER	Kartým
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-Up açýk/kapalý
MINI_GAME_CATCHKING_RETRY	Yeniden oyna
MINI_GAME_CATCHKING_REWARD	Ödülün
MINI_GAME_CATCHKING_SCORE	Puan
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açýlan kartlar
MINI_GAME_CATCHKING_START_TEXT	Baþla
MINI_GAME_CATCHKING_TITLE	Kralý yakala
DEFANCE_WAWE_MAST_TEXT	Gemi direði
DEFANCE_WAWE_GAUGE_TOOLTIP	HP:  5000000 /5000000
DUNGEON_INFO	Zindan Bilgi Penceresi
DUNGEON_INFO_TYPE	Zindan Tipi:
DUNGEON_INFO_ORGANIZATION	Giriþ Tipi:
DUNGEON_INFO_LEVEL_LIMIT	Seviye Limiti:
DUNGEON_INFO_PARTY_MEMBERS	Grup Üyesi:
DUNGEON_INFO_COOLDOWN	Bekleme Süresi:
DUNGEON_INFO_DURATION	Süre:
DUNGEON_INFO_ENTRANCE	Giriþ Haritasý:
DUNGEON_INFO_STRENGTH	Saldýrý Bonusu:
DUNGEON_INFO_RESISTANCE	Savunma Bonusu:
DUNGEON_INFO_TOTAL_FINISHED	Toplam Bitirme:
DUNGEON_INFO_FASTEST_TIME	En Hýzlý Bitirme:
DUNGEON_INFO_HIGHEST_DAMAGE	En Yüksek Hasar:
DUNGEON_INFO_TELEPORT	Iþýnlan
DUNGEON_INFO_CLOSE	Kapat
DUNGEON_INFO_PERSONAL_STATS	Kiþisel Skorlar
DUNGEON_INFO_DUNGEON	Zindan
DUNGEON_RANKING	Evaluari
DUNGEON_RANKING_POSITION	Sýra
DUNGEON_RANKING_NAME	Ýsim
DUNGEON_RANKING_LEVEL	Seviye
DUNGEON_RANKING_POINTS	Puan
DUNGEON_RANKING_TYPE1	Clasamente finalizate
DUNGEON_RANKING_TYPE2	Evaluari de timp
DUNGEON_RANKING_TYPE3	Clasificarea daunelor
DUNGEON_RANKING_POINT_TYPE1	Terminate
DUNGEON_RANKING_POINT_TYPE2	Mín. Timp
DUNGEON_RANKING_POINT_TYPE3	Máx. Timp
MESSAGE_DUNGEON_INFO	Iþýnlanmak istiyor musun?
